Report_ID,Crime_Type,Severity,Latitude,Longitude,Timestamp
1,Homicide,Critical,5.350151,119.025323,2024-06-11 12:53:00
2,Kidnapping,Critical,15.310597,123.443694,2024-03-04 07:21:00
3,Fraud,Medium,5.417161,118.405018,2024-01-20 07:44:00
4,Drug Trafficking,Critical,8.086169,122.481923,2024-01-05 17:34:00
5,Drug Possession,High,9.763507,117.710274,2024-09-02 02:24:00
6,Homicide,Critical,6.298442,117.06388,2024-09-07 11:03:00
7,Burglary,Medium,15.216245,121.898509,2024-10-02 15:22:00
8,Assault,Critical,16.611665,122.803717,2024-09-20 08:01:00
9,Drug Trafficking,High,5.641541,118.506881,2024-07-29 17:25:00
10,Assault,High,17.130771,120.181388,2024-11-26 03:55:00
11,Traffic Accident,Medium,10.182534,118.304577,2024-07-13 09:46:00
12,Assault,High,12.477958,118.69292,2024-12-02 14:34:00
13,Fire Incident,Critical,8.77927,126.179303,2024-06-08 22:03:00
14,Domestic Violence,High,8.206673,116.353103,2024-08-17 16:56:00
15,Fire Incident,Critical,8.748372,118.320811,2024-08-17 03:23:00
16,Drug Trafficking,Critical,10.538847,126.060023,2024-11-30 03:01:00
17,Kidnapping,Critical,8.708322,118.712903,2024-07-10 07:44:00
18,Fraud,High,10.06795,126.970584,2024-04-10 17:31:00
19,Public Disturbance,Low,15.58095,125.472132,2024-04-21 07:05:00
20,Drug Possession,High,13.349726,120.23244,2024-12-06 19:45:00
21,Burglary,Medium,14.523968,117.260069,2024-07-13 07:06:00
22,Domestic Violence,High,9.109002,117.739735,2024-01-03 08:42:00
23,Burglary,Medium,12.107543,117.170519,2024-08-05 07:42:00
24,Drug Trafficking,High,10.234794,117.777039,2024-01-01 09:59:00
25,Domestic Violence,Critical,5.272674,126.220085,2024-08-11 22:11:00
26,Vandalism,Low,8.372202,122.240926,2024-02-27 08:22:00
27,Assault,Critical,16.424326,126.757829,2024-04-01 13:49:00
28,Kidnapping,Critical,14.236512,126.415335,2024-04-30 05:48:00
29,Burglary,High,18.501081,126.218048,2024-05-26 11:22:00
30,Cybercrime,High,18.932091,123.148659,2024-11-15 00:21:00
31,Terrorism Threat,Critical,6.694059,118.471671,2024-09-03 04:28:00
32,Theft,Medium,13.238162,116.079099,2024-02-12 20:53:00
33,Vandalism,Low,17.67588,125.455989,2024-02-21 14:19:00
34,Vandalism,Medium,14.365689,118.356605,2024-04-06 08:19:00
35,Public Disturbance,Low,15.984672,124.882467,2024-05-18 15:39:00
36,Homicide,Critical,6.357031,120.741563,2024-11-04 10:34:00
37,Fraud,High,17.093714,116.595883,2024-03-12 15:58:00
38,Robbery,Critical,15.19499,124.806518,2024-03-20 13:36:00
39,Vandalism,Low,7.662925,120.934749,2024-11-03 04:54:00
40,Drug Possession,High,11.476793,125.619345,2024-02-24 21:26:00
41,Terrorism Threat,Critical,16.312311,125.415636,2024-03-12 07:04:00
42,Robbery,High,18.565948,126.190037,2024-06-21 03:01:00
43,Drug Possession,High,11.798976,118.35122,2024-10-19 00:41:00
44,Robbery,High,10.305624,126.838397,2024-07-12 02:45:00
45,Terrorism Threat,Critical,8.993489,123.662507,2024-12-20 09:11:00
46,Kidnapping,Critical,7.65857,118.39471,2024-02-12 14:04:00
