Report_ID,Crime_Type,Severity,Latitude,Longitude,Timestamp
1,Fire Incident,Critical,8.806498,116.114398,2024-08-28 15:21:00
2,Domestic Violence,Critical,17.96396,117.712244,2024-08-28 15:21:00
3,Theft,Medium,12.860315,117.586394,2024-05-06 10:45:00
4,Theft,Medium,7.847801,123.115491,2024-07-18 02:58:00
5,Kidnapping,Critical,11.291451,123.039501,2024-08-06 15:32:00
6,Cybercrime,Medium,13.860033,118.933129,2024-05-05 13:33:00
7,Robbery,Critical,18.951856,121.597834,2024-11-21 14:51:00
8,Traffic Accident,Medium,5.831957,123.548827,2024-11-08 13:52:00
9,Theft,Medium,9.796533,120.935431,2024-01-12 20:38:00
10,Burglary,Medium,15.463403,118.061646,2024-10-17 13:51:00
11,Traffic Accident,High,9.770908,122.277103,2024-04-29 13:19:00
12,Homicide,Critical,13.206102,125.646577,2024-10-11 09:51:00
13,Robbery,Critical,17.11672,123.735938,2024-05-04 22:40:00
14,Domestic Violence,High,16.296479,124.428392,2024-07-19 04:08:00
15,Homicide,Critical,9.499662,122.876987,2024-10-11 22:37:00
16,Public Disturbance,Medium,10.755618,121.229681,2024-11-18 17:34:00
17,Homicide,Critical,6.681678,119.318924,2024-04-06 14:35:00
18,Traffic Accident,Medium,11.253999,122.843336,2024-09-13 02:37:00
19,Cybercrime,Medium,13.151756,122.137747,2024-12-11 09:02:00
20,Assault,High,18.322904,125.63061,2024-04-13 09:55:00
21,Drug Possession,High,10.7371,120.236589,2024-09-22 19:43:00
22,Public Disturbance,Low,17.492883,120.136447,2024-07-14 22:44:00
23,Domestic Violence,Critical,8.061395,125.893236,2024-06-21 21:14:00
24,Drug Trafficking,High,8.596295,119.427869,2024-12-05 23:12:00
25,Drug Trafficking,Critical,13.855218,117.872641,2024-07-09 10:32:00
26,Theft,High,8.021147,122.495213,2024-07-17 18:09:00
27,Drug Trafficking,Critical,15.105421,122.25932,2024-06-16 22:26:00
28,Traffic Accident,Medium,9.861581,120.515303,2024-08-18 08:53:00
29,Vandalism,Low,8.927994,119.10272,2024-01-23 16:05:00
30,Homicide,Critical,11.723067,122.880191,2024-03-08 02:20:00
31,Domestic Violence,High,13.96712,121.179393,2024-12-12 13:03:00
32,Fire Incident,Critical,5.234253,117.118046,2024-01-22 16:16:00
33,Assault,Critical,15.063194,124.357352,2024-08-25 08:28:00
34,Burglary,High,15.286071,117.99488,2024-01-12 03:14:00
35,Kidnapping,Critical,13.086031,125.395893,2024-06-06 14:36:00
36,Theft,Medium,16.436178,118.961453,2024-04-15 08:44:00
37,Traffic Accident,High,13.386729,124.778443,2024-01-20 17:15:00
38,Theft,High,16.646928,118.132943,2024-04-06 05:14:00
39,Theft,High,15.512393,122.145789,2024-03-20 21:43:00
40,Traffic Accident,Medium,5.084706,118.734664,2024-05-18 11:17:00
41,Burglary,Medium,5.307193,121.710581,2024-06-03 11:07:00
42,Public Disturbance,Medium,12.521644,125.698375,2024-09-23 11:19:00
43,Assault,High,11.229468,122.280395,2024-07-05 12:48:00
44,Terrorism Threat,Critical,13.314703,116.201976,2024-05-30 03:01:00
45,Terrorism Threat,Critical,10.755486,126.187269,2024-11-04 07:29:00
46,Drug Possession,Medium,7.518681,121.994734,2024-07-30 17:19:00
47,Robbery,Critical,11.43613,126.756221,2024-09-10 15:33:00
48,Homicide,Critical,17.109347,119.895059,2024-12-11 21:59:00
49,Robbery,Critical,8.974835,116.049343,2024-03-05 20:20:00
50,Assault,Critical,5.357059,124.023927,2024-07-23 18:20:00
51,Burglary,High,9.308973,119.493714,2024-07-24 00:10:00
52,Traffic Accident,High,13.185302,124.281392,2024-09-05 16:30:00
53,Terrorism Threat,Critical,8.606715,116.960158,2024-04-20 19:12:00
54,Fraud,Medium,12.745229,117.894954,2024-07-20 02:52:00
55,Homicide,Critical,14.599028,121.324833,2024-10-16 23:43:00
56,Assault,Critical,15.542112,118.699453,2024-08-30 05:46:00
57,Vandalism,Medium,17.846059,126.592899,2024-06-11 03:22:00
58,Cybercrime,High,10.768365,120.903982,2024-01-08 02:10:00
59,Burglary,Medium,9.483392,123.797751,2024-02-20 10:51:00
60,Domestic Violence,High,15.051188,125.088852,2024-04-17 10:49:00
61,Kidnapping,Critical,10.100846,117.960087,2024-03-15 10:14:00
62,Public Disturbance,Medium,13.053308,122.174553,2024-08-01 17:55:00
63,Assault,Critical,12.73438,117.793763,2024-05-15 09:41:00
64,Kidnapping,Critical,17.950593,120.073835,2024-10-27 20:56:00
65,Fraud,High,8.482126,123.502123,2024-10-01 01:28:00
66,Traffic Accident,Medium,10.300368,118.785582,2024-10-02 05:09:00
67,Drug Trafficking,High,10.855726,124.626475,2024-08-13 12:31:00
68,Drug Trafficking,High,16.428915,124.422018,2024-01-27 02:32:00
69,Drug Trafficking,Critical,12.351686,118.498474,2024-04-19 08:05:00
70,Fire Incident,Critical,16.179483,118.103384,2024-12-15 05:56:00
71,Domestic Violence,Critical,14.877709,119.588512,2024-08-12 21:34:00
72,Drug Possession,Medium,18.263321,124.576046,2024-05-30 04:21:00
73,Robbery,High,6.831773,124.282381,2024-11-20 20:41:00
74,Theft,High,9.529678,122.858234,2024-01-09 12:20:00
75,Drug Trafficking,High,5.060075,126.343132,2024-10-10 09:03:00
76,Drug Trafficking,Critical,17.709361,119.500237,2024-10-31 20:47:00
77,Public Disturbance,Medium,10.507191,116.099934,2024-11-12 01:08:00
78,Traffic Accident,Medium,10.731785,126.553563,2024-08-16 18:48:00
79,Drug Possession,High,9.789322,122.160867,2024-12-11 13:18:00
80,Traffic Accident,High,17.921114,125.211021,2024-10-20 03:25:00
81,Homicide,Critical,16.477479,120.455554,2024-06-22 10:35:00
82,Robbery,High,16.21404,119.224548,2024-03-30 04:29:00
83,Cybercrime,High,14.149875,120.800934,2024-11-20 09:21:00
84,Domestic Violence,High,18.71252,122.026958,2024-12-30 14:02:00
85,Cybercrime,Medium,10.463215,122.57785,2024-03-11 15:24:00
86,Theft,Medium,18.686207,120.833637,2024-01-11 00:42:00
87,Kidnapping,Critical,9.647797,118.711479,2024-01-21 21:09:00
88,Fire Incident,Critical,14.399797,117.287591,2024-02-04 14:54:00
89,Theft,High,5.696051,116.076784,2024-08-08 23:35:00
90,Cybercrime,High,18.030435,125.117509,2024-10-04 15:49:00
91,Traffic Accident,Medium,12.913907,124.446941,2024-12-28 06:23:00
92,Homicide,Critical,15.798551,120.153382,2024-11-27 05:27:00
93,Fire Incident,Critical,8.481375,117.8977,2024-05-12 16:48:00
94,Fraud,Medium,18.466174,116.877551,2024-06-01 17:04:00
95,Cybercrime,High,14.076269,119.603664,2024-06-08 22:22:00
96,Traffic Accident,Medium,5.455597,125.58007,2024-09-18 23:43:00
97,Fire Incident,Critical,17.54383,119.029803,2024-06-19 13:50:00
98,Public Disturbance,Low,13.312074,116.045885,2024-01-25 08:03:00
99,Cybercrime,Medium,13.168801,125.048956,2024-03-28 06:28:00
100,Theft,High,6.259993,125.200738,2024-11-11 07:16:00
101,Kidnapping,Critical,12.277082,117.894057,2024-09-07 09:37:00
102,Robbery,Critical,18.220303,118.885107,2024-04-28 14:39:00
103,Traffic Accident,High,18.443725,121.894723,2024-04-28 14:39:00
104,Robbery,High,9.027844,117.552581,2024-04-28 14:39:00
105,Vandalism,Low,6.56477,121.260183,2024-04-28 14:39:00
106,Drug Possession,High,11.683128,118.000736,2024-04-28 14:39:00
107,Cybercrime,Medium,7.406941,126.664018,2024-07-10 14:52:00
108,Homicide,Critical,15.608847,118.490551,2024-02-07 13:59:00
109,Terrorism Threat,Critical,13.981166,124.661341,2024-09-05 11:36:00
110,Public Disturbance,Low,11.090003,124.40591,2024-08-31 03:46:00
111,Robbery,Critical,17.861835,118.46674,2024-08-29 22:15:00
112,Public Disturbance,Low,11.259786,124.251634,2024-09-19 09:36:00
113,Drug Trafficking,Critical,15.353549,120.918131,2024-12-08 00:43:00
