description,severity
"May insidente ng smugglin sa kanto. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
breaking and entering at apartment. Small value items involved.,Moderate
"Found property at mall. Item recovered, no suspect.",Low
Ongoing violence at residential area. Multiple victims involved.,Immediate
"trespassing issue at school. Routine matter, no urgency.",Moderate
"May tanong tungkol sa natagpuang gamit sa komersyal na distrito. Hiling ng impormasyon, hindi kagyatan.",Low
shoplifting disturbance at school. Suspect left the area.,Moderate
"Past drug trafficking at kanto. Suspects at large, investigation needed.",High
May routine check sa kapitbahayan. Kailangan ng administrative service.,Low
May kotongan na naganap sa gusali. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
Serious sexual assault operation at apartment. Significant damage occurred.,High
"assault case at apartment. Victim rescued, suspects arrested.",High
"petty theft at commercial district. Suspect fled, no victims present.",Moderate
"May nakaraang holdapin sa simbahan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Noise complaint at building. Loud music from neighbor.,Low
May pangkalahatang natagpuang gamit sa community center. Walang kagyat na aksyon na kailangan.,Low
May kotong na naganap sa kapitbahayan. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May reklamo ng natagpuang gamit sa apartment. Karaniwang bagay, walang kagyatan.",Low
"Serious human trafficking reported at building. Victim hospitalized, investigation ongoing.",High
"May natagpuang gamit sa park. Nakuha ang gamit, walang suspetsado.",Low
"Serious corruption reported at park. Victim hospitalized, investigation ongoing.",High
shooting that occurred at church. Suspects fled before police arrival.,High
"May isyu ng away sa barangay. Karaniwang bagay, walang kagyatan.",Moderate
May sitwasyon ng away sa park. Kailangan ng pag-aayos ng ari-arian.,Moderate
"assault discovered at school. Evidence collected, suspect identified.",High
Lost property report at apartment. Item turned in for safekeeping.,Low
May patuloy na stabbing sa kapitbahayan. Maraming biktima ang kasama.,Immediate
May reklamo ng takutan sa simbahan. Walang agarang panganib.,Moderate
May nangyayaring shooting sa park. Kailangan ng emergency response.,Immediate
May reklamo ng ingay sa kanto. Maingay na musika mula sa kapitbahay.,Low
breaking and entering at building. Non-violent incident occurred.,Moderate
harassment reported at neighborhood. Minor damage occurred.,Moderate
"May guluhin sa barangay. Nakatakas ang suspetsado, walang biktima.",Moderate
"assault incident at street corner. Large quantity involved, investigation required.",High
May aktibong rape na sitwasyon sa community center. Kailangan ng agad na tugon.,Immediate
May nangyayaring pagpatay sa apartment. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"kidnap discovered at kapitbahayan. Evidence collected, suspect identified.",High
vandalism at community center. Small value items involved.,Moderate
shooting occurred at mall. Suspect fled the scene.,High
May patuloy na rape sa kapitbahayan. Maraming biktima ang kasama.,Immediate
karahasan incident at community center. Suspect still present and armed.,Immediate
May pag-atake ng kill na nangyayari sa community center. Naipit ang mga tao sa loob.,Immediate
"Past attack at street corner. Suspects at large, investigation needed.",High
breaking and entering situation at commercial district. Property maintenance needed.,Moderate
fight at kapitbahayan. Small value items involved.,Moderate
May away na kaguluhan sa park. Umalis ang suspetsado sa lugar.,Moderate
In-progress shooting at residential area. Emergency response needed.,Immediate
May insidente ng nakaw sa residential area. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May pag-atake ng pumatay na nangyayari sa apartment. Naipit ang mga tao sa loob.,Immediate
May reklamo ng ingay sa komersyal na distrito. Maingay na musika mula sa kapitbahay.,Low
May pananakot sa kapitbahayan. Non-violent na insidente ang naganap.,Moderate
May insidente ng away sa apartment. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May naiulat na nawawalang gamit sa paaralan. Ibinigay ang gamit para sa pag-iingat.,Low
May aktibong karahasan na sitwasyon sa palengke. Kailangan ng agad na tugon.,Immediate
May reklamo ng ingay sa gusali. Maingay na musika mula sa kapitbahay.,Low
May takutan sa simbahan. Maliit na halaga ng gamit ang kasama.,Moderate
May insidente ng awayin sa simbahan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May sitwasyon ng takutan sa komersyal na distrito. Kailangan ng pag-aayos ng ari-arian.,Moderate
May nakawin sa komersyal na distrito. Non-violent na insidente ang naganap.,Moderate
May patuloy na violence sa gusali. Maraming biktima ang kasama.,Immediate
"bribery discovered at building. Evidence collected, suspect identified.",High
Suspect with stabbing threatening people at park. Active threat.,Immediate
May ingay na kaguluhan sa komersyal na distrito. Umalis ang suspetsado sa lugar.,Moderate
May naiulat na nawawalang gamit sa barangay. Ibinigay ang gamit para sa pag-iingat.,Low
loitering situation at park. Property maintenance needed.,Moderate
"attack case at neighborhood. Victim rescued, suspects arrested.",High
May nakawin na kaguluhan sa kapitbahayan. Umalis ang suspetsado sa lugar.,Moderate
"May naiulat na seryosong droga sa barangay. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
Active saksakin crime at barangay. Suspects still at scene.,Immediate
May aktibong kidnap na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
"parking violation at barangay. Verbal incident, no physical harm.",Moderate
"May isyu ng ingay sa apartment. Pangkalahatang tanong, hindi emergency.",Low
"May kaso ng smugglin sa paaralan. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May patuloy na saksak sa kanto. Maraming biktima ang kasama.,Immediate
May nangyayaring kidnapin sa kanto. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
Ongoing kill at kapitbahayan. Multiple victims involved.,Immediate
assault in progress at mall. Suspect actively harming victim.,Immediate
"Found property at market. Item recovered, no suspect.",Low
baril happening now at church. Victims need immediate help.,Immediate
May kotongan na naganap sa simbahan. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"vandalism at school. Suspect fled, no victims present.",Moderate
May malaking kaso ng lagay sa kanto. Maraming biktima ang apektado.,High
"property at residential area. Non-violent incident, low priority.",Low
May pag-atake ng pamamaril na nangyayari sa gusali. Naipit ang mga tao sa loob.,Immediate
"parking violation at kanto. Verbal incident, no physical harm.",Moderate
In-progress pagpatay at kanto. Emergency response needed.,Immediate
trespassing disturbance at building. Suspect left the area.,Moderate
May sitwasyon ng gulo sa kanto. Kailangan ng pag-aayos ng ari-arian.,Moderate
"sexual assault discovered at community center. Evidence collected, suspect identified.",High
"complaint complaint at barangay. Routine matter, no urgency.",Low
"drug trafficking discovered at park. Evidence collected, suspect identified.",High
Active pagpatay crime at school. Suspects still at scene.,Immediate
"drug trafficking discovered at barangay. Evidence collected, suspect identified.",High
kill happening now at kapitbahayan. Victims need immediate help.,Immediate
Ongoing bomb at market. Multiple victims involved.,Immediate
"gang violence incident at church. Large quantity involved, investigation required.",High
Active bomb situation at barangay. Immediate response required.,Immediate
fight at apartment. Non-violent incident occurred.,Moderate
Ongoing bomba at kapitbahayan. Multiple victims involved.,Immediate
May paglabag sa parking sa kanto. Mali ang pag-park ng sasakyan.,Low
weapon attack in progress at kapitbahayan. People trapped inside.,Immediate
"parking issue at kanto. General inquiry, non-emergency.",Low
May seryosong karahasan na operasyon sa kanto. Malaking pinsala ang naganap.,High
May naganap na pusher sa komersyal na distrito. Nakatakas ang suspetsado.,High
fight situation at market. Property maintenance needed.,Moderate
May aktibong saksakin na sitwasyon sa community center. Kailangan ng agad na tugon.,Immediate
May ulat ng nawawalang gamit sa kapitbahayan. Para lamang sa insurance.,Low
loitering at kapitbahayan. Small value items involved.,Moderate
"May insidente ng kidnapin sa simbahan. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May malaking kaso ng kotongan sa kapitbahayan. Maraming biktima ang apektado.,High
May ingay sa kapitbahayan. Non-violent na insidente ang naganap.,Moderate
May naiulat na nawawalang gamit sa kapitbahayan. Ibinigay ang gamit para sa pag-iingat.,Low
May aktibong gun na sitwasyon sa barangay. Kailangan ng agad na tugon.,Immediate
Noise complaint at neighborhood. Loud music from neighbor.,Low
"May takutan sa residential area. Nakatakas ang suspetsado, walang biktima.",Moderate
Lost property report at school. Item turned in for safekeeping.,Low
Active pumatay happening at street corner. Victim in immediate danger.,Immediate
Suspect with violence threatening people at school. Active threat.,Immediate
"lost property inquiry at building. Information request, not urgent.",Low
shoplifting at mall. Small value items involved.,Moderate
terorista in progress at kanto. Suspect actively harming victim.,Immediate
May aktibong kidnapin na sitwasyon sa mall. Kailangan ng agad na tugon.,Immediate
May insidente ng awayin sa kapitbahayan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May reklamo sa palengke. Non-violent na insidente, mababang priyoridad.",Low
